step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
4.0,0,0.0,0.0,4.42677765263943,0,0.0,1.0,0,0.0,0.31015260521942706,0,0.0
8.0,1,0.0,0.0,5.814952592889313,1,0.0,0.25138230717632887,0,0.0,0.55676883563547,1,0.0
12.0,2,0.0,0.0,7.363695982764405,1,0.0,0.4463821625704507,1,0.0,0.5697578751968477,2,0.0
16.0,2,0.0,0.0,8.512712923775693,1,0.0,0.5563800703360091,1,0.0,0.6181503111859149,2,0.0
20.0,0,0.0,0.0,10.490728459486714,0,0.0,0.7237102746711137,0,0.0,0.7222610982969069,0,0.0
24.0,3,1.0,0.05263157894736842,10.437076411122836,2,1.0,0.7293450106993615,1,0.0,0.7167314233652851,3,1.0
28.0,1,5.0,0.23809523809523808,10.415909113075905,1,5.0,0.75380661070978,0,0.0,0.6431838776778767,1,5.0
32.0,4,13.0,0.52,8.740803810997296,1,9.0,0.75102290478236,3,4.0,0.5038410320058939,4,13.0
36.0,7,29.0,0.9666666666666667,8.12288544248563,3,16.0,0.5528805131453108,4,13.0,0.5761955086078061,7,29.0
40.0,8,53.0,1.606060606060606,8.57339669741066,4,28.0,0.4696321130163238,4,25.0,0.6872171911598804,8,53.0
44.0,6,49.0,1.4,7.60283493013382,2,12.0,0.42510393432200816,4,37.0,0.6053487735727039,6,49.0
48.0,14,85.0,2.1794871794871793,6.972399098597634,7,29.0,0.38193921620075755,7,59.0,0.5019485808722377,14,88.0
52.0,12,89.0,2.225,5.735217600487705,7,52.0,0.47493723301234714,5,37.0,0.32693620149562175,12,89.0
56.0,14,112.0,2.731707317073171,6.613230483512683,8,87.0,0.47821886627419635,6,35.0,0.4636507323496315,14,122.0
60.0,16,169.0,3.840909090909091,7.405760610540576,9,119.0,0.4989687902409522,7,56.0,0.5295374101979784,16,175.0
64.0,10,113.0,2.4565217391304346,7.185481827747891,6,81.0,0.5215595516789459,4,38.0,0.5972417642708254,10,119.0
68.0,5,61.0,1.297872340425532,9.080429882146133,2,43.0,0.6962111615480225,3,32.0,0.6263674171913927,5,75.0
72.0,10,67.0,1.2407407407407407,8.498719044449855,6,55.0,0.5313437652699532,4,26.0,0.5398572585721437,10,81.0
76.0,11,90.0,1.6666666666666667,7.921346011513671,7,81.0,0.48257054312969033,4,27.0,0.4905210335673271,11,108.0
80.0,17,113.0,1.9482758620689655,6.89935973307747,10,72.0,0.4153348101097888,7,53.0,0.4544657877701186,17,125.0
84.0,18,149.0,2.709090909090909,6.481417217459297,8,72.0,0.470171255218607,10,98.0,0.4544342296893,18,170.0
88.0,19,175.0,3.1818181818181817,5.851223193956691,10,79.0,0.47047911488610067,9,113.0,0.4372994071484368,19,192.0
92.0,11,120.0,2.0689655172413794,6.523386689197358,4,77.0,0.4806821265004464,7,120.0,0.45555544752142774,11,197.0
96.0,12,162.0,2.6557377049180326,7.975120496200511,5,56.0,0.5333301102217913,7,127.0,0.5430622122909223,12,183.0
100.0,12,209.0,3.3174603174603177,8.822901502850021,5,63.0,0.587966255506767,7,155.0,0.5808833644471579,12,218.0
104.0,13,183.0,2.652173913043478,7.780088242908037,5,77.0,0.4425279773227864,8,115.0,0.5472086889140774,13,192.0
108.0,17,136.0,2.0,7.097169746918602,14,118.0,0.3869488981172618,3,72.0,0.4856959615384263,17,190.0
112.0,25,182.0,2.676470588235294,5.805089055632301,15,148.0,0.4000868300443492,10,83.0,0.3323823965713107,25,231.0
116.0,27,233.0,3.3285714285714287,6.030505418773595,15,184.0,0.412337173180486,12,126.0,0.3802420658584265,27,310.0
120.0,27,291.0,4.098591549295775,5.605374628506445,17,216.0,0.4345342466084057,10,148.0,0.3922451825541933,27,364.0
124.0,20,239.0,3.22972972972973,5.934964322062318,12,234.0,0.40624203102847745,8,155.0,0.4095022426349648,20,389.0
128.0,19,205.0,2.7333333333333334,6.139753236642573,12,170.0,0.4010607097971233,7,117.0,0.405327324910284,19,287.0
132.0,17,134.0,1.6962025316455696,6.0247153518543035,11,177.0,0.33851592260909047,6,109.0,0.3874326568377603,17,286.0
136.0,27,172.0,2.097560975609756,5.4614353029165885,15,189.0,0.293934940292345,12,135.0,0.3289402984859801,27,324.0
140.0,28,231.0,3.0,5.784592095736258,14,216.0,0.3222746641135678,14,193.0,0.37375249513225356,28,409.0
144.0,28,294.0,3.972972972972973,5.36499728222606,14,210.0,0.3093977900162522,14,208.0,0.38675185273656887,28,418.0
148.0,19,226.0,3.183098591549296,5.594504816279315,11,220.0,0.3567444030053073,8,213.0,0.3557758956341081,19,433.0
152.0,19,264.0,3.6666666666666665,6.122103102336991,11,242.0,0.3318278706763175,8,221.0,0.4308964959774031,19,463.0
156.0,26,312.0,4.16,6.133511289169758,15,277.0,0.28492468972648416,11,257.0,0.40444781171000543,26,534.0
160.0,27,322.0,4.2368421052631575,5.930733388284075,11,193.0,0.35851027487931486,16,307.0,0.38555855790404636,27,500.0
164.0,26,275.0,3.5256410256410255,6.1293336265855105,10,153.0,0.4145381234457521,16,297.0,0.34749480437618585,26,450.0
168.0,29,300.0,3.896103896103896,5.863426827142538,11,134.0,0.38188504840389453,18,331.0,0.35870895977712874,29,465.0
172.0,34,317.0,4.064102564102564,5.677104871367918,14,173.0,0.4530681574297342,20,309.0,0.3316129727550068,34,482.0
