step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
4.0,0,0.0,0.0,5.41447126120329,0,0.0,1.0,0,0.0,0.43617869261778,0,0.0
8.0,1,0.0,0.0,6.488080708935038,1,0.0,0.299749994359849,0,0.0,0.6726401776661826,1,0.0
12.0,2,0.0,0.0,7.754293230373773,1,0.0,0.5227522147628684,1,0.0,0.5851430511026562,2,0.0
16.0,2,0.0,0.0,8.583503272461913,1,0.0,0.5736974811655922,1,0.0,0.6432746457285337,2,0.0
20.0,0,0.0,0.0,10.90435592440924,0,0.0,0.7936277983022823,0,0.0,0.7475318872737233,0,0.0
24.0,3,2.0,0.10526315789473684,10.104534952624352,2,2.0,0.744063233687097,1,0.0,0.7187628751104181,3,2.0
28.0,2,8.0,0.38095238095238093,8.460198764667211,1,6.0,0.653749948514932,1,2.0,0.5352026774537595,2,8.0
32.0,6,22.0,0.88,8.27787425575386,2,12.0,0.7088367105057161,4,10.0,0.4956362533643086,6,22.0
36.0,5,17.0,0.5666666666666667,7.305230957136254,3,7.0,0.5316925940964828,2,10.0,0.5816285363824234,5,17.0
40.0,5,27.0,0.84375,8.749935253313037,3,19.0,0.5719411920310604,2,17.0,0.6742752156614575,5,36.0
44.0,6,45.0,1.3235294117647058,8.694620393924385,2,27.0,0.5447264471343142,4,27.0,0.599180578836731,6,54.0
48.0,12,75.0,1.9230769230769231,8.0906017600273,6,40.0,0.47274737094603597,6,44.0,0.5347946097273863,12,84.0
52.0,7,85.0,2.125,7.533520050438909,2,34.0,0.687769415770262,5,60.0,0.4119500739740915,7,94.0
56.0,10,116.0,2.8292682926829267,8.039681441217908,4,50.0,0.6743966135039408,6,81.0,0.4510739555210085,10,131.0
60.0,10,76.0,1.8095238095238095,7.792418820157844,3,31.0,0.63538859327476,7,60.0,0.5338087954193075,10,91.0
64.0,8,53.0,1.1777777777777778,8.175412802833838,3,26.0,0.6101919062594842,5,73.0,0.520466036116455,8,99.0
68.0,11,91.0,1.9782608695652173,8.464117856747718,4,30.0,0.68710399060942,7,91.0,0.5204315540165125,11,121.0
72.0,14,93.0,1.8235294117647058,7.646789610861947,5,46.0,0.6050902905853677,9,77.0,0.5130875715225212,14,123.0
76.0,13,111.0,2.1346153846153846,7.514753267142769,7,67.0,0.5078923345323156,6,78.0,0.5266526739423097,13,145.0
80.0,12,93.0,1.7222222222222223,7.0360029487207045,7,58.0,0.4239283862692891,5,56.0,0.5540101967981343,12,114.0
84.0,8,78.0,1.3448275862068966,7.488081172503279,3,65.0,0.48870047927569166,5,51.0,0.48174156266205465,8,116.0
88.0,10,92.0,1.5333333333333334,7.0678957934316875,3,71.0,0.49863180131325374,7,53.0,0.38444807075739634,10,124.0
92.0,19,124.0,2.0,6.565927009928924,8,99.0,0.4838491877572913,11,76.0,0.3275267372630779,19,175.0
96.0,21,174.0,2.71875,6.356404864027209,10,111.0,0.4451824345936457,11,100.0,0.4171838596347011,21,211.0
100.0,11,125.0,1.9841269841269842,7.306445109860539,5,118.0,0.5150957122893218,6,99.0,0.48282222337890407,11,217.0
104.0,11,112.0,1.696969696969697,7.019015912351346,5,85.0,0.5104550342354204,6,105.0,0.4035721672536048,11,190.0
108.0,20,120.0,1.7142857142857142,6.983375003139539,9,58.0,0.4507918619680092,11,144.0,0.41368629669779017,20,202.0
112.0,23,182.0,2.4266666666666667,6.2924003909120065,10,83.0,0.3741721340332829,13,159.0,0.37146783603180883,23,242.0
116.0,22,229.0,3.0945945945945947,6.171761274285032,13,124.0,0.34606025752610964,9,171.0,0.3767160900105363,22,295.0
120.0,24,238.0,3.2162162162162162,5.9767546203892135,15,146.0,0.33176294524013694,9,137.0,0.3983688349124561,24,283.0
124.0,18,162.0,2.1315789473684212,7.02338401055873,10,165.0,0.4049042494749432,8,123.0,0.44985027068545524,18,288.0
128.0,13,98.0,1.2564102564102564,6.973217193576564,5,146.0,0.43127445225777333,8,108.0,0.40008646835007833,13,254.0
132.0,14,96.0,1.28,7.000874632693478,8,159.0,0.4098708166631557,6,110.0,0.4477911659547325,14,269.0
136.0,20,122.0,1.605263157894737,6.738044393280015,11,163.0,0.39398654940557476,9,109.0,0.43775117784083933,20,272.0
140.0,20,142.0,1.9722222222222223,6.910222014854613,6,141.0,0.4815980294902194,14,156.0,0.3811856361123083,20,297.0
144.0,18,134.0,1.9142857142857144,6.816553164736416,3,104.0,0.538007896499859,15,157.0,0.3899922645050797,18,261.0
148.0,16,101.0,1.507462686567164,7.191788209459997,7,101.0,0.5159004712239534,9,166.0,0.3953222594197855,16,267.0
152.0,15,138.0,2.0597014925373136,7.338747077387474,9,86.0,0.4267966308768754,6,142.0,0.4135887603212728,15,228.0
156.0,19,189.0,2.7794117647058822,7.259767999084493,10,96.0,0.41180391802559885,9,167.0,0.41506963593144036,19,263.0
160.0,17,209.0,3.073529411764706,6.913022944222018,4,96.0,0.469272218839947,13,213.0,0.3337909023333904,17,309.0
164.0,21,231.0,3.609375,5.407174074865033,7,92.0,0.39151823684751547,14,209.0,0.26499761116606463,21,301.0
168.0,21,174.0,2.6769230769230767,5.557087482573165,8,94.0,0.40502057477262515,13,235.0,0.30488391573783963,21,329.0
172.0,20,220.0,3.283582089552239,5.910653813940425,9,120.0,0.4078741149022627,11,224.0,0.40180065686379984,20,344.0
176.0,21,218.0,3.1142857142857143,6.27803409837434,10,99.0,0.48054370958944576,11,226.0,0.4392487040443428,21,325.0
180.0,17,211.0,2.971830985915493,6.947148753782618,10,129.0,0.5478107882974248,7,208.0,0.4164349934720876,17,337.0
184.0,17,214.0,3.057142857142857,7.473907532334553,8,132.0,0.49764637866430045,9,199.0,0.5105904024927971,17,331.0
188.0,15,157.0,2.242857142857143,6.978227979669059,6,128.0,0.5040593641569121,9,167.0,0.4228148947715011,15,295.0
192.0,21,201.0,2.9130434782608696,5.592588055112916,9,139.0,0.3247916622161615,12,196.0,0.2711526216407698,21,335.0
196.0,33,283.0,4.042857142857143,4.51193207248502,12,175.0,0.2806086161725902,21,219.0,0.2211950393053349,33,394.0
200.0,29,299.0,4.211267605633803,4.871680600255367,13,203.0,0.3505701876915757,16,250.0,0.26091863298168605,29,453.0
204.0,28,317.0,4.464788732394366,5.112925269573106,13,228.0,0.44479649264960036,15,247.0,0.2307502656694461,28,475.0
208.0,24,295.0,4.097222222222222,5.9175606367014675,13,240.0,0.4850909894196341,11,253.0,0.236859148835884,24,493.0
212.0,20,246.0,3.464788732394366,5.804166047106887,8,246.0,0.4346786297425389,12,206.0,0.23791313245243556,20,452.0
216.0,19,173.0,2.4027777777777777,6.065037333916341,8,150.0,0.4317679560872514,11,228.0,0.2592723477406331,19,378.0
220.0,23,180.0,2.4,5.930018336398906,9,116.0,0.3620889379308191,14,228.0,0.3152417958598495,23,344.0
