step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
4.0,0,0.0,0.0,5.76841326111462,0,0.0,1.0,0,0.0,0.40149740187487437,0,0.0
8.0,1,0.0,0.0,6.74567135530524,1,0.0,0.3040547975033671,0,0.0,0.6314018704273116,1,0.0
12.0,2,0.0,0.0,8.267140934903635,1,0.0,0.5286054709479927,1,0.0,0.6380377355554854,2,0.0
16.0,2,0.0,0.0,8.471867323136152,1,0.0,0.5671387986837846,1,0.0,0.6377943255686394,2,0.0
20.0,0,0.0,0.0,10.489671104960879,0,0.0,0.7418179506856775,0,0.0,0.7463788451551429,0,0.0
24.0,2,0.0,0.0,10.100527321417527,1,0.0,0.7289452341511012,1,0.0,0.7133035414804295,2,0.0
28.0,2,6.0,0.2857142857142857,8.726447150488372,1,4.0,0.6414645838955492,1,2.0,0.6016866183678194,2,6.0
32.0,6,19.0,0.76,7.5085702433995785,3,11.0,0.6424800234830759,3,8.0,0.4374413838287091,6,19.0
36.0,5,18.0,0.6,7.333799082771228,2,6.0,0.5608349779841285,3,12.0,0.6084771966806459,5,18.0
40.0,5,27.0,0.8181818181818182,9.362575289282523,3,18.0,0.5673366539498134,2,17.0,0.7138124185013554,5,35.0
44.0,8,44.0,1.2571428571428571,8.500164946672808,4,25.0,0.3963202611881762,4,21.0,0.6612233053188876,8,46.0
48.0,14,83.0,2.075,7.379079287383168,8,47.0,0.4368841425897602,6,38.0,0.47189276322931084,14,85.0
52.0,10,95.0,2.375,7.0622876862163055,3,39.0,0.6141097507462299,7,58.0,0.43728620969158494,10,97.0
56.0,10,117.0,2.925,7.15614995410824,3,42.0,0.6781603410374494,7,84.0,0.3962276323967428,10,126.0
60.0,11,86.0,2.0,7.385809750802775,4,26.0,0.6106825927319517,7,66.0,0.44571767780377886,11,92.0
64.0,10,68.0,1.4782608695652173,7.5246153291652025,3,23.0,0.5767228319686025,7,79.0,0.4385119164616281,10,102.0
68.0,13,116.0,2.4166666666666665,8.018070444238765,6,37.0,0.5559768069257484,7,91.0,0.5167267372228203,13,128.0
72.0,18,173.0,3.392156862745098,6.9779128765017715,9,64.0,0.49353949356387916,9,121.0,0.46255887776429433,18,185.0
76.0,20,245.0,4.622641509433962,6.768555701236261,10,99.0,0.48642725132264275,10,158.0,0.45354144096095905,20,257.0
80.0,21,231.0,4.052631578947368,6.156429822673448,10,109.0,0.4402177713111842,11,134.0,0.46842530795721227,21,243.0
84.0,12,179.0,3.086206896551724,6.731482992522734,6,117.0,0.5209420126298844,6,122.0,0.422039510493931,12,239.0
88.0,12,121.0,1.9836065573770492,5.960052051638533,7,86.0,0.4010747465310721,5,90.0,0.383600650310666,12,176.0
92.0,14,64.0,0.9696969696969697,6.094959334313902,9,72.0,0.4060770503108485,5,69.0,0.3577243737534305,14,141.0
96.0,22,111.0,1.5857142857142856,6.07332794140722,12,86.0,0.4046023755183364,10,69.0,0.40808239629419557,22,155.0
