step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
4.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
8.0,1,0.0,0.0,2.343087689842408,1,0.0,0.0,0,0.0,0.25518275315897665,1,0.0
12.0,0,0.0,0.0,8.520254424790618,0,0.0,0.3788833615759085,0,0.0,0.8765464252361179,0,0.0
16.0,0,0.0,0.0,10.37881988710296,0,0.0,0.8798442662989808,0,0.0,0.6667934481665129,0,0.0
20.0,0,0.0,0.0,12.422622994206591,0,0.0,0.9587135691348969,0,0.0,0.8462573914639693,0,0.0
24.0,1,0.0,0.0,8.518753105972516,0,0.0,0.6669638571312245,1,0.0,0.5733880288651673,1,0.0
28.0,1,1.0,0.1111111111111111,8.020807556291267,1,1.0,0.3670307820095393,0,0.0,0.8477114797331373,1,1.0
32.0,1,5.0,0.45454545454545453,9.230094547622265,1,5.0,0.6206379142863512,0,0.0,0.7161743944353279,1,5.0
36.0,2,11.0,1.1,10.476804576133118,1,9.0,0.7610916429262359,1,2.0,0.7237609476268536,2,11.0
40.0,2,19.0,1.7272727272727273,8.681293922605837,1,13.0,0.6833634462749147,1,6.0,0.5329117792109164,2,19.0
44.0,6,31.0,1.8235294117647058,6.081394099587592,3,17.0,0.5169411065768043,3,14.0,0.33531053269073574,6,31.0
48.0,4,35.0,1.8421052631578947,7.832516469775811,1,21.0,0.6900737594192,3,14.0,0.48068890299424716,4,35.0
52.0,5,45.0,2.142857142857143,8.724146968269446,3,27.0,0.6539031767965822,2,20.0,0.5743496793718821,5,47.0
56.0,5,61.0,2.5416666666666665,8.434250026156137,1,30.0,0.7105339946542819,4,32.0,0.5081265913563463,5,62.0
60.0,4,77.0,2.9615384615384617,9.205885742500346,1,33.0,0.8055728128685248,3,44.0,0.5372771801924582,4,77.0
64.0,6,96.0,3.2,8.004643806785447,2,37.0,0.5581919153638158,4,59.0,0.5206582093896714,6,96.0
68.0,7,124.0,4.133333333333334,8.060767766669663,2,45.0,0.6040591025410826,5,79.0,0.47382013313169213,7,124.0
72.0,13,166.0,5.724137931034483,6.850865889746688,3,54.0,0.5431571668171701,10,112.0,0.34387132976605317,13,166.0
76.0,15,218.0,7.517241379310345,5.872205371994325,4,67.0,0.48135107185779646,11,151.0,0.2849325821385309,15,218.0
80.0,15,278.0,9.586206896551724,4.745366619902625,4,83.0,0.39748628612528325,11,195.0,0.1324000979062088,15,278.0
84.0,19,348.0,11.6,4.081662358667707,6,103.0,0.334762742280717,13,245.0,0.08166755112150324,19,348.0
88.0,21,426.0,13.3125,3.57522239956251,6,127.0,0.35721170183564493,15,299.0,0.04602462312913118,21,426.0
92.0,17,328.0,10.933333333333334,2.943662968461436,6,124.0,0.2772653197908862,11,257.0,0.12848284627512624,17,381.0
96.0,17,355.0,11.451612903225806,4.094320663429729,8,155.0,0.3015429178457119,9,239.0,0.1988133913522674,17,394.0
100.0,17,419.0,12.696969696969697,4.695159631269028,8,187.0,0.3726057737146667,9,240.0,0.18106454083707638,17,427.0
104.0,18,489.0,14.382352941176471,5.189882439530268,9,223.0,0.41226952800984384,9,268.0,0.20916722859478723,18,491.0
108.0,20,563.0,15.216216216216216,5.1680519608078574,9,259.0,0.40609376253580026,11,304.0,0.22020789237163943,20,563.0
112.0,19,639.0,18.257142857142856,5.186451950183362,9,295.0,0.4775340867230061,10,344.0,0.2579141110039538,19,639.0
116.0,19,715.0,20.428571428571427,3.8754597655156675,9,331.0,0.3329946465843544,10,384.0,0.22778302420147378,19,715.0
120.0,25,806.0,21.783783783783782,3.2104064443348626,12,375.0,0.2457144902879477,13,431.0,0.21633611585861487,25,806.0
124.0,26,907.0,23.86842105263158,3.1761053224147746,14,428.0,0.16847618376579346,12,479.0,0.2596279303887269,26,907.0
128.0,27,1014.0,26.0,3.4984950136540007,15,487.0,0.17703204723449797,12,527.0,0.29942941207063295,27,1014.0
132.0,29,1125.0,27.4390243902439,3.312659802069633,16,549.0,0.15136724177081398,13,576.0,0.27912596575442095,29,1125.0
136.0,26,918.0,22.390243902439025,2.850509673215311,14,439.0,0.11447679028041503,12,479.0,0.2502082446107874,26,918.0
140.0,23,754.0,19.333333333333332,3.81329939564794,12,389.0,0.1314531399728916,11,407.0,0.28498708301162834,23,796.0
144.0,24,846.0,20.142857142857142,4.405967870837887,12,400.0,0.07778989236247447,12,449.0,0.3338444053586145,24,849.0
148.0,27,949.0,21.568181818181817,4.361546808467106,14,453.0,0.0842528477611614,13,499.0,0.3223379577127027,27,952.0
152.0,27,1057.0,22.97826086956522,4.834486345350252,14,509.0,0.129402681938261,13,551.0,0.34925912650612434,27,1060.0
156.0,27,1165.0,25.32608695652174,4.54550619765573,14,565.0,0.17153296574869947,13,603.0,0.36292656442123516,27,1168.0
160.0,29,1274.0,26.0,4.3685283747473065,14,621.0,0.20138610165084683,15,653.0,0.30049157376024654,29,1274.0
164.0,32,1392.0,29.0,3.3857577719627394,16,682.0,0.2203484116709183,16,710.0,0.1640592390373764,32,1392.0
168.0,34,1522.0,31.06122448979592,3.3373613801170556,17,746.0,0.21386729840953012,17,776.0,0.1849916278533312,34,1522.0
172.0,33,1654.0,31.807692307692307,3.72793601320845,16,810.0,0.18551117945167295,17,844.0,0.2787707554384256,33,1654.0
176.0,34,1788.0,33.735849056603776,3.958248081901466,17,876.0,0.19978688821983795,17,912.0,0.3439677971783149,34,1788.0
180.0,37,1928.0,35.054545454545455,3.0527654824529016,19,948.0,0.15900974077071411,18,980.0,0.2511572014386041,37,1928.0
184.0,29,1233.0,21.63157894736842,3.55050594815817,15,782.0,0.18322215537394915,14,761.0,0.247982086113573,29,1543.0
188.0,28,1155.0,19.913793103448278,4.714348464310758,14,795.0,0.21417264621459473,14,674.0,0.3386030197893701,28,1469.0
192.0,29,1241.0,20.34426229508197,4.989149280425879,16,823.0,0.2267663519056653,13,546.0,0.376744782104373,29,1369.0
196.0,30,1359.0,22.278688524590162,5.268664272074583,16,886.0,0.3260964353050846,14,553.0,0.3693969922361124,30,1439.0
200.0,31,1478.0,24.229508196721312,4.7779150846634115,15,946.0,0.35656057035813216,16,551.0,0.2900242419719456,31,1497.0
204.0,36,1613.0,26.442622950819672,4.31586830572247,18,1010.0,0.3524523411338195,18,599.0,0.2723114137509914,36,1609.0
208.0,40,1762.0,26.696969696969695,3.7601661311502665,20,1084.0,0.2954317694077379,20,674.0,0.2278109794191151,40,1758.0
212.0,44,1929.0,28.36764705882353,2.7999043700941764,23,1170.0,0.24555175064558016,21,755.0,0.1273940030850857,44,1925.0
216.0,52,2124.0,29.91549295774648,2.447842093261203,26,1267.0,0.2099428705151697,26,853.0,0.11818115311128201,52,2120.0
220.0,55,2342.0,31.64864864864865,2.51538239001361,28,1377.0,0.21487804005715874,27,961.0,0.1257182648638153,55,2338.0
224.0,59,2570.0,34.266666666666666,1.7956803290578045,30,1494.0,0.14729146905034327,29,1072.0,0.12276071516799963,59,2566.0
228.0,48,1460.0,19.210526315789473,2.1890551751145644,24,1306.0,0.12917035182037742,24,947.0,0.16492670845206206,48,2253.0
232.0,37,795.0,10.324675324675324,3.140770625550924,18,958.0,0.15170021488001856,19,700.0,0.1846464726519068,37,1658.0
236.0,36,831.0,10.792207792207792,4.254544366302723,15,736.0,0.2709789279632328,21,610.0,0.14286791615274,36,1346.0
