step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
4.0,0,0.0,0.0,4.482299683091696,0,0.0,1.0,0,0.0,0.3117148559251969,0,0.0
8.0,1,0.0,0.0,6.139366774012861,1,0.0,0.2666145773779512,0,0.0,0.6057960736034973,1,0.0
12.0,2,0.0,0.0,7.773508500575271,1,0.0,0.5117493954976758,1,0.0,0.580719414338645,2,0.0
16.0,2,0.0,0.0,8.712840893366197,1,0.0,0.5921418918277638,1,0.0,0.645830111604414,2,0.0
20.0,0,0.0,0.0,10.552402193004776,0,0.0,0.8001885230000781,0,0.0,0.6816784558451465,0,0.0
24.0,3,2.0,0.1111111111111111,9.413523355154217,1,0.0,0.7715927708616346,2,2.0,0.5849586998496511,3,2.0
28.0,3,11.0,0.5238095238095238,9.308430483913176,1,3.0,0.7352443419956388,2,8.0,0.5728321807144717,3,11.0
32.0,5,24.0,0.96,8.50475478159049,2,8.0,0.7302870864855181,3,16.0,0.540692859397863,5,24.0
36.0,6,40.0,1.3333333333333333,8.39699119836707,3,16.0,0.6204485259464826,3,24.0,0.6182303721503818,6,40.0
40.0,6,56.0,1.696969696969697,8.322758014307801,3,24.0,0.5128553540718918,3,32.0,0.6490016275959731,6,56.0
44.0,9,88.0,2.5142857142857142,8.208839548633755,4,40.0,0.523444324389226,5,48.0,0.5846506927734443,9,88.0
48.0,14,127.0,3.2564102564102564,6.758520270715557,8,59.0,0.4259374957919833,6,68.0,0.48966310212021413,14,127.0
52.0,15,182.0,4.55,6.79606026925651,6,83.0,0.5844339621234451,9,99.0,0.4104775722834314,15,182.0
56.0,19,249.0,6.073170731707317,5.512818809047866,7,108.0,0.47196065687419814,12,141.0,0.33842750883232414,19,249.0
60.0,23,333.0,7.4,5.319209899897003,10,141.0,0.3352235684475449,13,192.0,0.41277887212544906,23,333.0
64.0,23,424.0,9.02127659574468,5.381545150801498,10,180.0,0.3974178890433006,13,244.0,0.37997873752837946,23,424.0
68.0,28,524.0,10.27450980392157,4.987232320516036,13,223.0,0.3627295313457371,15,301.0,0.3311334501141218,28,524.0
72.0,32,636.0,11.777777777777779,4.046236493647386,15,274.0,0.29833584315097345,17,362.0,0.2868857754862083,32,636.0
76.0,32,763.0,13.625,4.306321623771163,14,330.0,0.32952076054905777,18,433.0,0.31971443917557324,32,763.0
80.0,36,901.0,15.016666666666667,3.8392204140369057,15,389.0,0.28293711472405003,21,512.0,0.2588786621610502,36,901.0
