w1,w2,espera_media_global
0,0.0,507.95
0,0.1,516.23125
0,0.2,634.8152777777779
0,0.3,482.9573611111111
0,0.4,506.8641666666666
0,0.5,496.3880555555555
0,0.6,515.4913888888889
0,0.7,490.13625
0,0.8,547.6815277777778
0,0.9,502.00805555555553
0,1.0,460.33486111111114
1,0.0,462.93902777777777
1,0.1,570.4563888888889
1,0.2,477.96222222222224
1,0.3,497.25055555555554
1,0.4,482.21097222222215
1,0.5,522.3936111111111
1,0.6,481.9865277777778
1,0.7,492.04625000000004
1,0.8,529.5647222222221
1,0.9,608.1808333333333
1,1.0,531.8375
2,0.0,536.3258333333334
2,0.1,690.0713888888888
2,0.2,538.6712500000001
2,0.3,536.4351388888888
2,0.4,507.4336111111112
2,0.5,528.6970833333332
2,0.6,489.10152777777773
2,0.7,525.1902777777777
2,0.8,490.3886111111111
2,0.9,509.37138888888893
2,1.0,487.7165277777778
3,0.0,443.14
3,0.1,487.93486111111116
3,0.2,506.7155555555555
3,0.3,473.9762499999999
3,0.4,498.35541666666666
3,0.5,534.2794444444444
3,0.6,508.97958333333327
3,0.7,454.9125
3,0.8,469.6666666666667
3,0.9,518.4591666666668
3,1.0,490.55361111111114
4,0.0,505.9854166666666
4,0.1,649.6169444444445
4,0.2,523.1418055555555
4,0.3,505.6647222222223
4,0.4,470.68805555555554
4,0.5,475.0215277777778
4,0.6,494.62541666666664
4,0.7,497.1895833333334
4,0.8,474.9023611111111
4,0.9,557.8672222222222
4,1.0,530.1762500000001
5,0.0,448.70180555555555
5,0.1,479.4251388888889
5,0.2,536.7766666666668
5,0.3,550.4270833333333
5,0.4,509.75763888888895
5,0.5,484.0395833333333
5,0.6,479.8258333333333
5,0.7,494.04097222222225
5,0.8,491.6479166666667
5,0.9,554.015
5,1.0,548.8638888888889
6,0.0,558.3879166666667
6,0.1,487.80069444444445
6,0.2,548.0166666666667
6,0.3,504.2768055555554
6,0.4,490.5272222222222
6,0.5,528.5258333333334
6,0.6,521.2016666666666
6,0.7,504.8145833333333
6,0.8,493.1769444444444
6,0.9,466.9822222222221
6,1.0,616.8220833333334
7,0.0,476.44194444444446
7,0.1,510.1191666666667
7,0.2,489.7488888888889
7,0.3,541.4440277777778
7,0.4,603.5770833333333
7,0.5,508.1708333333333
7,0.6,506.93583333333333
7,0.7,473.9863888888889
7,0.8,472.2168055555556
7,0.9,472.7718055555555
7,1.0,514.9838888888889
8,0.0,471.49833333333333
8,0.1,470.10333333333335
8,0.2,532.2991666666667
8,0.3,509.6426388888888
8,0.4,505.67972222222227
8,0.5,483.16083333333336
8,0.6,515.9633333333334
8,0.7,511.93263888888885
8,0.8,522.1381944444445
8,0.9,475.0831944444444
8,1.0,511.64986111111114
9,0.0,502.735
9,0.1,476.5251388888889
9,0.2,476.98194444444454
9,0.3,495.35611111111103
9,0.4,461.6211111111111
9,0.5,499.95833333333337
9,0.6,482.1061111111111
9,0.7,520.1584722222221
9,0.8,526.9412500000001
9,0.9,511.85791666666665
9,1.0,617.6620833333333
10,0.0,496.82416666666666
10,0.1,491.1065277777778
10,0.2,530.4179166666667
10,0.3,495.61819444444444
10,0.4,556.4915277777778
10,0.5,510.1565277777778
10,0.6,475.82236111111115
10,0.7,525.0520833333334
10,0.8,511.6686111111111
10,0.9,468.4888888888889
10,1.0,513.521111111111
