step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,1.7704726218362343,0,0.0,1.0,1,0.0,0.11517469202645307,1,0.0
10.0,0,0.0,0.0,6.496686845470688,0,0.0,0.4046553256032072,0,0.0,0.5329061161129452,0,0.0
15.0,1,0.0,0.0,9.049329477756487,0,0.0,0.7109624457567878,1,0.0,0.6207076163531132,1,0.0
20.0,0,0.0,0.0,10.140729407745704,0,0.0,0.7975615350078371,0,0.0,0.7047531280407991,0,0.0
25.0,0,0.0,0.0,9.063476859683286,0,0.0,0.6428271119920705,0,0.0,0.7080761434373822,0,0.0
30.0,5,11.0,0.55,7.721301950112386,4,8.0,0.47774511255892,1,3.0,0.6708177615149337,5,11.0
35.0,4,31.0,1.3478260869565217,8.06651492719404,3,23.0,0.5392418799319137,1,8.0,0.6297562948912317,4,31.0
40.0,8,55.0,2.1153846153846154,7.073435024058072,4,40.0,0.5055459662171518,4,16.0,0.5016854732998502,8,56.0
45.0,11,95.0,3.2758620689655173,6.796038659794903,6,65.0,0.41465667118127614,5,31.0,0.547724816620969,11,96.0
50.0,12,112.0,3.5,5.660720604322445,5,61.0,0.3766119403495669,7,57.0,0.38556197581160023,12,118.0
55.0,11,164.0,4.96969696969697,6.641079325726878,4,75.0,0.42601724981811334,7,89.0,0.3419837073519065,11,164.0
60.0,14,230.0,6.764705882352941,6.666790700980778,4,98.0,0.41577429107508357,10,135.0,0.2858248333586576,14,233.0
65.0,17,308.0,9.058823529411764,4.798415215877713,6,125.0,0.3175162854262662,11,186.0,0.15004109175944444,17,311.0
70.0,19,331.0,9.194444444444445,3.7668177803789735,6,114.0,0.25406867375753733,13,248.0,0.1846901172492441,19,362.0
75.0,20,419.0,11.63888888888889,4.487793765347301,7,115.0,0.24611764954186935,13,310.0,0.33122883709163864,20,425.0
80.0,21,519.0,12.975,5.189701569679697,8,153.0,0.35336005767090345,13,375.0,0.3662985850369633,21,528.0
85.0,21,623.0,14.488372093023257,5.336457550116728,7,188.0,0.454753217092542,14,444.0,0.3232853864093314,21,632.0
90.0,22,610.0,13.26086956521739,5.086721446406532,5,122.0,0.4209757256583684,17,518.0,0.30762325191467543,22,640.0
95.0,26,691.0,14.702127659574469,4.4955835233947585,7,96.0,0.3091802194714693,19,605.0,0.2326988905212764,26,701.0
100.0,29,830.0,16.274509803921568,3.806852794096012,9,141.0,0.34966200843208534,20,702.0,0.1473524442810932,29,843.0
105.0,31,971.0,18.673076923076923,3.733110482297135,11,192.0,0.3009709071808342,20,796.0,0.2019998452514892,31,988.0
110.0,32,1057.0,18.875,3.9497978095297155,12,198.0,0.20030484567932208,20,888.0,0.223906184940391,32,1086.0
115.0,33,1205.0,22.314814814814813,3.894588831929457,13,226.0,0.13541672057039034,20,991.0,0.24120140854480987,33,1217.0
120.0,32,1231.0,21.982142857142858,4.032753627485301,10,195.0,0.20792496956803813,22,1099.0,0.21897576748946107,32,1294.0
