step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J17_stopped,J17_accumulated_waiting_time,J17_average_speed,J18_stopped,J18_accumulated_waiting_time,J18_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,1.78718956944067,0,0.0,1.0,1,0.0,0.11716204298969161,1,0.0
10.0,0,0.0,0.0,7.425187374007265,0,0.0,0.40976093196550295,0,0.0,0.6223458862978674,0,0.0
15.0,1,0.0,0.0,9.845135948636075,0,0.0,0.751839163359318,1,0.0,0.6630812289516219,1,0.0
20.0,0,0.0,0.0,10.204197720540412,0,0.0,0.8055376049364715,0,0.0,0.7491858637037205,0,0.0
25.0,1,1.0,0.07142857142857142,7.992900076178868,1,1.0,0.5340787833401757,0,0.0,0.6157892984815784,1,1.0
30.0,5,10.0,0.5,7.972569881371105,4,8.0,0.463092078525401,1,2.0,0.6450118159184082,5,10.0
35.0,3,25.0,1.0869565217391304,9.155764626193776,2,18.0,0.6407201866346384,1,7.0,0.6491141859768681,3,25.0
40.0,6,43.0,1.6538461538461537,7.4028837067016475,3,30.0,0.5414526072954904,3,13.0,0.4750605315706347,6,43.0
45.0,7,55.0,1.896551724137931,6.88773793479197,1,24.0,0.4023553454762323,6,34.0,0.5071516306970453,7,58.0
50.0,10,88.0,2.75,6.645534875931572,4,34.0,0.28422098688655884,6,54.0,0.38668195310768144,10,88.0
55.0,12,143.0,4.46875,6.543690361241625,5,60.0,0.4608448010962898,7,86.0,0.2631213341458411,12,146.0
60.0,16,214.0,6.484848484848484,6.203477939634179,6,86.0,0.4052582609362801,10,131.0,0.23454707413650958,16,217.0
65.0,17,281.0,9.064516129032258,3.761503882208054,6,100.0,0.3312610118460579,11,184.0,0.1484067359856323,17,284.0
70.0,18,257.0,7.3428571428571425,2.981781104901626,9,138.0,0.20132830055933995,9,173.0,0.24596251573117162,18,311.0
75.0,18,306.0,8.052631578947368,5.3087404581461115,10,184.0,0.2621882359159593,8,147.0,0.43410100219388054,18,331.0
80.0,13,182.0,4.333333333333333,6.215023664373077,8,147.0,0.3657071720525774,5,121.0,0.49907310142717565,13,268.0
85.0,12,178.0,4.1395348837209305,7.031415715021011,7,152.0,0.4353965387615918,5,85.0,0.45367492437781837,12,237.0
90.0,20,263.0,5.844444444444444,5.93293807062373,11,197.0,0.2920492116478212,9,91.0,0.44225073105545726,20,288.0
95.0,19,339.0,7.212765957446808,5.349008739321809,11,236.0,0.3222213587399832,8,128.0,0.3546268560429367,19,364.0
100.0,26,452.0,9.617021276595745,4.748510141118284,14,295.0,0.2883634942980442,12,182.0,0.21410054575402623,26,477.0
105.0,27,536.0,10.938775510204081,4.224459294858684,16,369.0,0.2026481353875549,11,207.0,0.23824604585406944,27,576.0
110.0,29,633.0,12.173076923076923,4.640960390473612,19,458.0,0.16704895240272133,10,206.0,0.3602591715564376,29,664.0
115.0,28,730.0,14.89795918367347,4.304453880100344,19,552.0,0.19436275513158263,9,220.0,0.40305015049206216,28,772.0
120.0,28,859.0,17.18,3.775873499414771,19,650.0,0.20886298984777493,9,243.0,0.2804776376721692,28,893.0
125.0,34,1007.0,19.745098039215687,3.092957984634651,22,755.0,0.16415605801244487,12,271.0,0.22895085040099675,34,1026.0
130.0,33,909.0,16.833333333333332,2.827453419214523,21,709.0,0.120388919774915,12,320.0,0.2531278023942705,33,1029.0
135.0,33,798.0,14.50909090909091,3.749547120848202,22,668.0,0.22426407371976284,11,273.0,0.24340277952041275,33,941.0
140.0,27,806.0,14.392857142857142,4.743138284133498,22,749.0,0.2605424912821347,5,155.0,0.4045682980141485,27,904.0
145.0,30,953.0,16.719298245614034,4.637255730208827,24,866.0,0.27776860097866135,6,118.0,0.39752864444522457,30,984.0
150.0,37,1102.0,18.677966101694917,2.7004687845670556,29,998.0,0.13627372219763376,8,138.0,0.22536636125752477,37,1136.0
155.0,47,1315.0,20.873015873015873,2.624117702634423,36,1164.0,0.1327845005296077,11,184.0,0.17139976432175705,47,1348.0
160.0,46,1494.0,22.984615384615385,2.142090320420445,35,1313.0,0.09197215439904931,11,225.0,0.18100156692378247,46,1538.0
165.0,50,1738.0,25.940298507462686,2.5641016470460443,38,1488.0,0.12534187890249518,12,286.0,0.28413340370090195,50,1774.0
170.0,45,1704.0,24.695652173913043,2.3529407220586473,36,1617.0,0.09061927145064802,9,231.0,0.3213934202148929,45,1848.0
175.0,38,1725.0,24.295774647887324,3.710685676850868,36,1747.0,0.07666537331146792,2,120.0,0.5006528700743282,38,1867.0
180.0,41,1506.0,19.81578947368421,3.526284416448956,35,1708.0,0.04504332231605249,6,134.0,0.40189157482868915,41,1842.0
185.0,39,905.0,11.3125,4.389312734843502,27,1478.0,0.12571629673333082,12,175.0,0.35872292180656906,39,1653.0
190.0,37,649.0,8.539473684210526,4.044376940905199,20,1260.0,0.18492512835419914,17,248.0,0.1961784986216471,37,1508.0
195.0,34,466.0,6.297297297297297,4.6693861068308475,12,991.0,0.28166079209276274,22,346.0,0.18097265295373155,34,1337.0
200.0,29,471.0,6.826086956521739,4.70724731329504,7,737.0,0.37462983554864954,22,456.0,0.15545280003181516,29,1193.0
205.0,34,632.0,9.723076923076922,4.323604694048959,9,595.0,0.42592366576811763,25,574.0,0.07785311200877626,34,1169.0
210.0,38,814.0,12.333333333333334,3.888195144107909,11,444.0,0.3467853229022705,27,707.0,0.04608369563539012,38,1151.0
215.0,39,1007.0,15.257575757575758,3.4145503907363395,11,356.0,0.2677652456911984,28,846.0,0.028230414414310304,39,1202.0
220.0,42,1210.0,17.536231884057973,4.181944331429844,13,349.0,0.32497316439555946,29,989.0,0.05363804353782775,42,1338.0
225.0,40,1247.0,18.07246376811594,4.034155710501661,12,335.0,0.32964781121226316,28,1088.0,0.0705943801596708,40,1423.0
230.0,36,1314.0,19.043478260869566,4.219230398142157,13,382.0,0.3391589536468153,23,1146.0,0.17163336902186396,36,1528.0
235.0,34,1463.0,20.319444444444443,4.8051166462717765,10,411.0,0.37496135466313335,24,1207.0,0.25984484011569936,34,1618.0
240.0,35,1407.0,19.541666666666668,4.760165247100472,11,455.0,0.4193087478329321,24,1168.0,0.20650563906221323,35,1623.0
245.0,31,865.0,11.849315068493151,4.501780212030834,12,422.0,0.3673673924834842,19,972.0,0.16393095459840126,31,1394.0
250.0,28,623.0,8.41891891891892,4.804988795634753,11,364.0,0.31196733986467795,17,854.0,0.19187966440933402,28,1218.0
255.0,29,501.0,6.592105263157895,4.873239679635775,14,381.0,0.30017344420263703,15,757.0,0.2247621684250335,29,1138.0
260.0,37,645.0,8.6,5.065928722306761,18,454.0,0.32953486609791005,19,724.0,0.25721295301405817,37,1178.0
265.0,42,837.0,10.73076923076923,4.136356999524082,21,546.0,0.32320189111917436,21,747.0,0.19115615475277709,42,1293.0
270.0,43,895.0,11.1875,3.244482866580708,20,602.0,0.2851129124511379,23,799.0,0.16593076407671953,43,1401.0
275.0,42,1053.0,12.841463414634147,3.8932699249303258,16,617.0,0.29514520284230217,26,913.0,0.18128629989556158,42,1530.0
280.0,46,1169.0,13.593023255813954,3.4607429291014125,18,636.0,0.2468301635746276,28,1027.0,0.13116716490240513,46,1663.0
285.0,58,1378.0,15.48314606741573,3.092932726731772,25,725.0,0.1999788584125794,33,1140.0,0.09431731881638548,58,1865.0
290.0,60,1521.0,17.28409090909091,2.4057801321368313,30,832.0,0.1535658085456917,30,1211.0,0.14011362453801177,60,2043.0
295.0,52,1614.0,18.134831460674157,3.119509738981598,24,923.0,0.19245968646191058,28,1243.0,0.14570624489784598,52,2166.0
300.0,51,1801.0,20.46590909090909,3.4179039314072184,23,991.0,0.22538873928417394,28,1375.0,0.14538640254534296,51,2366.0
305.0,58,2007.0,22.55056179775281,2.9552505560848177,26,1063.0,0.1494808301483704,32,1529.0,0.11548969820347854,58,2592.0
310.0,59,1579.0,18.36046511627907,1.8838189458663386,28,941.0,0.0732700412127062,31,1466.0,0.09587444618104356,59,2407.0
315.0,48,835.0,9.709302325581396,2.780983316846522,23,684.0,0.12524640638847007,25,1162.0,0.15239605688198404,48,1846.0
320.0,38,620.0,7.294117647058823,3.8517684947787956,21,650.0,0.17992058645339296,17,969.0,0.23116066903763768,38,1619.0
325.0,34,707.0,8.034090909090908,4.986005540795424,22,606.0,0.1734015372517779,12,770.0,0.2772164033150391,34,1376.0
330.0,37,882.0,10.022727272727273,5.211903405695751,24,659.0,0.12491503215745643,13,653.0,0.3543009985337733,37,1312.0
335.0,39,1073.0,12.333333333333334,5.251859546226844,23,774.0,0.1925386821258449,16,586.0,0.3055560121349592,39,1360.0
340.0,42,1279.0,15.790123456790123,4.4162781098978225,25,897.0,0.16440567537256254,17,584.0,0.22735775897886765,42,1481.0
